,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
06/01/20,675.24493,682.2554,666.34326,674.21625,666,666,656.049988,659.75
07/01/20,675.68744,682.62616,666.6685,674.6509,661,673,661,666.299988
08/01/20,672.9142,679.7214,663.8173,671.8772,660.099976,669.799988,658.25,665.049988
09/01/20,670.7067,677.4177,661.56586,669.6319,667.900024,679.099976,667.150024,675.650024
10/01/20,668.6237,675.2556,659.4645,667.4954,675.099976,694,675.099976,689.700012
13/01/20,670.25586,676.87634,661.0846,669.0454,695,705.700012,692.049988,704.650024
14/01/20,678.0806,684.78546,668.89575,676.7892,708,733.950012,707,726.599976
15/01/20,687.55145,694.32983,678.34845,686.2431,727.099976,737.450012,720.349976,730
16/01/20,704.8887,711.8749,695.66064,703.5936,732,740.5,723.950012,737.900024
17/01/20,714.22217,721.238,704.95807,713.07916,737.900024,750.299988,734.099976,747.349976
20/01/20,720.6549,727.671,711.34424,719.6493,746.799988,751.700012,737.349976,746.299988
21/01/20,728.34314,735.3903,718.9433,727.4159,741,755.700012,741,749.450012
22/01/20,733.67676,740.7012,724.15515,732.8082,750.25,759.5,746.099976,748.349976
23/01/20,737.2527,744.22723,727.60236,736.4053,748.349976,760.950012,748,758.450012
24/01/20,739.7049,746.6204,729.9303,738.8388,759.75,762,753.549988,755.400024
27/01/20,741.94916,748.8081,732.0565,741.02625,754,759,746,749.650024
28/01/20,743.64514,750.43463,733.6426,742.64087,748,757.400024,746.950012,748.950012
29/01/20,743.9006,750.60266,733.81213,742.80597,751,771.150024,751,757.549988
30/01/20,742.80145,749.41437,732.65967,741.6075,760.650024,763.700012,754,757.900024
31/01/20,744.8833,751.48364,734.70514,743.56537,761,762.299988,748,751.200012
03/02/20,746.3219,752.8931,736.1183,744.9107,740.700012,753,719.400024,741.549988
04/02/20,746.0714,752.5922,735.86206,744.5902,750,752.099976,729,735.849976
05/02/20,744.7635,751.28046,734.60065,743.24445,740,762,731.049988,750.450012
06/02/20,738.18274,744.67163,728.11395,736.66174,753.900024,756.5,746.549988,753.150024
07/02/20,738.7437,745.39124,728.76904,737.16797,754.900024,769.650024,751.799988,763.799988
10/02/20,740.5805,747.36536,730.65106,738.98846,766.799988,766.799988,754.650024,761.450012
11/02/20,748.01764,754.9721,738.075,746.421,765.150024,779.799988,756.099976,758.25
12/02/20,751.28125,758.236,741.27386,749.7537,760.049988,763.950012,755.599976,756.650024
13/02/20,755.37286,762.30927,745.28,753.90216,756.049988,763.25,753,760.75
14/02/20,754.5148,761.33026,744.33673,753.11676,757.049988,770,757.049988,766.650024
17/02/20,752.9228,759.62775,742.67413,751.54486,769,773,749.5,752.700012
18/02/20,755.1361,761.81866,744.82196,753.7292,755,757,743.099976,749.599976
19/02/20,753.7138,760.31805,743.357,752.3085,755,768,748.299988,764.75
20/02/20,749.7019,756.225,739.3437,748.28705,761,778.5,760.099976,763.650024
24/02/20,749.28705,755.8192,738.9339,747.8146,761,769.799988,747.549988,749.799988
25/02/20,752.5715,759.14996,742.20026,751.0372,752.099976,754.299988,740.349976,749.599976
26/02/20,752.35236,758.88055,741.9622,750.8082,751,752,736,743.950012
27/02/20,754.9995,761.5912,744.6409,753.46295,748,748.5,725.25,731.799988
28/02/20,752.17773,758.83545,741.9269,750.74207,713.5,720.450012,701.099976,714
02/03/20,744.10754,750.8675,734.0349,742.79376,320.92,320.92,307.44,310.15